kanal,percobaan,tahap,deskripsi,pc_waktu,device_epoch,device_epoch_wib,nilai_disuntik,relayOn,mesin_menyala
Stepper_Y1,4,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:30:38.288670,1783949437,2026-07-13 20:30:37,,False,True,1
Stepper_Y1,5,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:30:50.336021,1783949449,2026-07-13 20:30:49,4.5,True,False,1
Stepper_Y1,5,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:30:56.381244,1783949455,2026-07-13 20:30:55,,True,False,1
Stepper_Y1,5,3,Tahan nilai zona histeresis,2026-07-13T20:31:02.413453,1783949461,2026-07-13 20:31:01,2.8,True,False,1
Stepper_Y1,5,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:31:08.434943,1783949467,2026-07-13 20:31:07,,True,False,1
Stepper_Y1,5,5,Tahan nilai di bawah ambang resume,2026-07-13T20:31:14.492497,1783949473,2026-07-13 20:31:13,2.2,True,False,1
Stepper_Y1,5,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:31:20.513607,1783949479,2026-07-13 20:31:19,,False,True,1
Stepper_Y1,6,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:31:32.602394,1783949491,2026-07-13 20:31:31,4.5,True,False,1
Stepper_Y1,6,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:31:38.659920,1783949497,2026-07-13 20:31:37,,True,False,1
Stepper_Y1,6,3,Tahan nilai zona histeresis,2026-07-13T20:31:44.701706,1783949503,2026-07-13 20:31:43,2.8,True,False,1
Stepper_Y1,6,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:31:50.720235,1783949509,2026-07-13 20:31:49,,True,False,1
Stepper_Y1,6,5,Tahan nilai di bawah ambang resume,2026-07-13T20:31:56.738493,1783949515,2026-07-13 20:31:55,2.2,True,False,1
Stepper_Y1,6,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:32:02.757175,1783949521,2026-07-13 20:32:01,,False,True,1
Stepper_Y1,7,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:32:14.809359,1783949533,2026-07-13 20:32:13,4.5,True,False,1
Stepper_Y1,7,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:32:20.826926,1783949539,2026-07-13 20:32:19,,True,False,1
Stepper_Y1,7,3,Tahan nilai zona histeresis,2026-07-13T20:32:26.845948,1783949545,2026-07-13 20:32:25,2.8,True,False,1
Stepper_Y1,7,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:32:32.882981,1783949551,2026-07-13 20:32:31,,True,False,1
Stepper_Y1,7,5,Tahan nilai di bawah ambang resume,2026-07-13T20:32:38.920985,1783949557,2026-07-13 20:32:37,2.2,True,False,1
Stepper_Y1,7,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:32:44.949018,1783949563,2026-07-13 20:32:43,,False,True,1
Stepper_Y1,8,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:32:56.997820,1783949577,2026-07-13 20:32:57,4.5,True,False,1
Stepper_Y1,8,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:33:03.004784,1783949583,2026-07-13 20:33:03,,True,False,1
Stepper_Y1,8,3,Tahan nilai zona histeresis,2026-07-13T20:33:09.028279,1783949589,2026-07-13 20:33:09,2.8,True,False,1
Stepper_Y1,8,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:33:15.042533,1783949595,2026-07-13 20:33:15,,True,False,1
Stepper_Y1,8,5,Tahan nilai di bawah ambang resume,2026-07-13T20:33:21.062086,1783949601,2026-07-13 20:33:21,2.2,True,False,1
Stepper_Y1,8,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:33:27.107640,1783949607,2026-07-13 20:33:27,,False,True,1
Stepper_Y1,9,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:33:39.139412,1783949619,2026-07-13 20:33:39,4.5,True,False,1
Stepper_Y1,9,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:33:45.174850,1783949625,2026-07-13 20:33:45,,True,False,1
Stepper_Y1,9,3,Tahan nilai zona histeresis,2026-07-13T20:33:51.218198,1783949631,2026-07-13 20:33:51,2.8,True,False,1
Stepper_Y1,9,4,Coba resume di zona histeresis (ekspektasi: ditolak),2026-07-13T20:33:57.249431,1783949637,2026-07-13 20:33:57,,True,False,1
Stepper_Y1,9,5,Tahan nilai di bawah ambang resume,2026-07-13T20:34:03.305448,1783949643,2026-07-13 20:34:03,2.2,True,False,1
Stepper_Y1,9,6,Coba resume di bawah ambang resume (ekspektasi: diterima),2026-07-13T20:34:09.337697,1783949649,2026-07-13 20:34:09,,False,True,1
Stepper_Y1,10,1,Tahan nilai tinggi (harus cutoff),2026-07-13T20:34:21.405944,1783949661,2026-07-13 20:34:21,4.5,True,False,1
Stepper_Y1,10,2,Coba resume saat tinggi (ekspektasi: ditolak),2026-07-13T20:34:27.454895,1783949667,2026-07-13 20:34:27,,True,False,1
